ENGLISH,SPANISH,JAPANESE,INDONESIAN,KOREAN,POS
to call,llamar,呼ぶ,memanggil,부르다,VERB
parents,padres,親/両親,orang tua,부모,NOUN
(married) couple/husband and wife,parejas,夫婦,pasangan (menikah)/suami-istri,부부,NOUN
part ,parte,部分,bagian,부분,NOUN
kitchen,cocina,台所,dapur,부엌,NOUN
wife (honorific of 아내),esposa,奥さん,istri,부인,NOUN
north,norte,北/北の方,utara,북쪽,NOUN
person (honorific of 사람 or 명),,様/方,orang (sebutan kehormatan untuk 사람 atau 명),분,NOUN
minute,minutos,分,menit,분,NOUN
atmosphere/mood,clima/atmósfera,雰囲気,suasana,분위기,NOUN
fire,fuego,火/火事; 光,api/kebakaran,불,NOUN
bulgogi (Korean barbecue),bulgogi ,焼肉,bulgogi (daging panggang Korea),불고기,NOUN
to blow,soplar,吹く,bertiup,불다,VERB
to stick (to),pegarse a,つく,lengket,붙다,VERB
to stick (sth),pegar (algo),つける,menempel,붙이다,VERB
rain,lluvia,雨,hujan,비,NOUN
soap,jabón,せっけん,sabun,비누,NOUN
video,video,ビデオ,video,비디오,NOUN
bibimbap (boiled rice with assorted mixtures),bibimbap (arroz cocido mezclado con vegetales),ビビンパ,bibimbap (nasi dengan bermacam-macam campuran),비빔밥,NOUN
to be similar,parecido/similar,似ている,serupa,비슷하다,ADJ
to be expensive,caro/costoso,高い,mahal,비싸다,ADJ
airplane,avión/aero plano,飛行機,pesawat terbang,비행기,NOUN
light,luz,光,cahaya,빛,NOUN
to be fast,rápido,早い/速い,menjadi cepat,빠르다,ADJ
to fall in; fall out,caer,おぼれる,jatuh kedalam,빠지다,VERB
red (color),rojo,赤色,merah (warna),빨간색,NOUN
laundry,lavadero,洗濯,cucian,빨래,NOUN
quickly/fast,apresurar,早く/速く,dengan cepat/cepat,빨리,ADV
bread,pan,パン,roti,빵,NOUN
to remove/to pull out,quitar/remover,抜く/取る,mengambil; mencabut,빼다,VERB
accident,accidente,事故,kecelakaan,사고,NOUN
apple,manzana,リンゴ,apel,사과,NOUN
to buy,comprar,買う,membeli,사다,VERB
to disappear,desaparecer,消える,menghilang,사라지다,VERB
person/people,persona ,人,orang,사람,NOUN
love | to love,amor; amar,愛 | 愛する,cinta; mencintai,사랑 | 사랑하다,NOUN | VERB
office,oficina,事務室,kantor,사무실,NOUN
fact/truth; in fact,verdad/realidad,事実; 実際に,fakta/kenyataan,사실,NOUN/ADV
use | to use,uso; usar,使用 | 使う,kgunaan; mengunakan,사용 | 사용하다,NOUN | VERB
gap; relationship,relación,隔たり/間; 仲,hubungan,사이,NOUN
president/CEO,presidente/jefe/CEO,社長,presiden/CEO ,사장,NOUN
dictionary,diccionario,辞書,kamus,사전,NOUN
picture/photo,cuadro/foto,写真,gambar/foto,사진,NOUN
candy,dulce/caramelo,キャンディー,permen,사탕,NOUN
society,sociedad,社会,masyarakat,사회,NOUN
mountain,montaña,山,gunung,산,NOUN
stroll | to take a walk,caminata/salir de paseo,散歩 | 散歩する,berjalan-jalan,산책 | 산책하다,NOUN | VERB
age/years (unit of counting someone's age),año/años,歳,umur/tahun (satuan untuk menghitung umur seseorang),살,NOUN
to live,vivir,暮らす/生活する/住む,tinggal,살다,VERB
product/goods,productos,商品,produk/barang-barang,상품,NOUN
bird,pájaro,鳥,burung,새 ,NOUN
new,nuevo/reciente,新しい,baru,새 ,DET
dawn/daybreak,madrugada/amanecer,夜明け/早朝,fajar/dinihari,새벽,NOUN
color,color,色,warna,색,NOUN
sandwich,emparedados,サンドイッチ,sandwich (roti lapis),샌드위치,NOUN
thought/idea | to think ,pensamiento/idea; pensar,考え | 思う,pemikiran/ide; berpikir,생각 | 생각하다,NOUN | VERB
to be formed; to look (like),parecer; ser parecido,生じる; 顔をする,membentuk; rupanya,생기다,VERB
fish,pescado,魚/鮮魚,ikan,생선,NOUN
birthday,cumpleaños,誕生日,hari ulang tahun,생일,NOUN
life,vida/estilo de vida,生活,kehidupan,생활,NOUN
shower,ducha,シャワー,mandi,샤워,NOUN
to stand ,parar,立つ ,berdiri,서다 ,VERB
each other,el uno al otro/mutuamente,お互い (に),saling,서로,ADV
service,servicio,サービス,pelayanan,서비스,NOUN
bookstore,librería,書店,toko buku,서점,NOUN
west,oeste,西/西の方,barat,서쪽,NOUN
present/gift | to give a present,regalo/presente;regalar ,プレゼント | プレゼントする,hadiah; memberikan hadiah,선물 | 선물하다,NOUN | VERB
teacher,profesor,先生,guru,선생,NOUN
explanation/account | to explain,explicación; explicar,説明 | 説明する,penjelasan/ceritera; menjelaskan,설명 | 설명하다,NOUN | VERB
sugar,azúcar,砂糖,gula,설탕,NOUN
character/personality,personalidad/carácter,性格,karakter/kepribadian,성격,NOUN
age/years (unit of counting someone's age),edad,歳,umur/tahun (satuan untuk menghitung umur seseorang),세,NOUN
world,mundo ,世界,dunia,세계,NOUN
world,mundo; mundial,世の中,dunia,세상,NOUN
washing one's face,limpieza facial,洗面/顔を洗あらうこと,mencuci wajah,세수,NOUN
to make sth or sb stand/to erect,levantar/parar recto,建てる/並ばせる,membuat sesuatu atau seseorang berdiri/menegakkan,세우다,VERB
washing machine,lavadora/lavaropa,洗濯機,mesin cuci,세탁기,NOUN
centimeter,centímetro,センチメートル,sentimeter,센티미터,NOUN
to introduce,introducir/presentar,紹介する,memperkenalkan,소개하다,VERB
salt ,sal,塩,garam,소금,NOUN
sound,sonido/ruido,音,suara,소리,NOUN
novel,novela,小説,novel,소설,NOUN
news/word,noticias,消息/知らせ,berita,소식,NOUN
sofa,sofá/sillón,ソファー,sofa,소파,NOUN
picnic/excursion,picnic/comida campestre,遠足,piknik/darmawisata,소풍,NOUN
inside,adentro/interior,中,didalam,속,NOUN
hand,mano,手,tangan,손,NOUN
finger,dedo,指,jari,손가락,NOUN
guest; customer,cliente,お客さん,tamu/pelanggan,손님,NOUN
beef,carne de vaca/bife,牛肉,daging sapi,쇠고기,NOUN
shopping,compras,ショッピング,belanja,쇼핑,NOUN
method/way/possiblity,método/posibilidad/manera,方法/·仕方,cara/jalan/kemungkinan,수,NOUN
towel,toalla,タオル,handuk,수건,NOUN
watermelon,sandía,すいか,semangka,수박,NOUN
class/lecture,clase,授業,,수업,NOUN
swimming,natación,水泳/泳ぎ,berenang,수영,NOUN
(swimming) pool,piscina/pileta,プール,kolam renang,수영장,NOUN
homework,preparación/tarea,宿題,pekerjaan rumah,숙제,NOUN
moment,momento,瞬間,saat,순간,NOUN
spoon,cuchara,さじ,sendok,숟가락,NOUN
alcoholic drink/alcohol,alcohol/vino,お酒,minuman beralkohol/alkohol,술,NOUN
forest,bosque,森,hutan,숲,NOUN
to rest/to relax,descansar/relajar,休む,beristirahat/bersantai,쉬다,VERB
to be easy ,ser fácil,易しい/簡単だ,mudah ,쉽다,ADJ
supermarket,supermercado,スーパーマーケット,supermarket,슈퍼마켓,NOUN
for oneself/by oneself,uno mismo ,自ら,diri sendiri/sendiri ,스스로,NOUN/ADV
ski,esquí,スキー,main ski,스키,NOUN
stress,estres,ストレス,ketegangan/tekanan,스트레스,NOUN
sports,deporte,スポーツ,olah raga,스포츠,NOUN
to be sad ,estar triste,悲しい,bersedih,슬프다,ADJ
city/town,ciudad,市,kota,시 ,NOUN
time/hour,tiempo/hora,時,waktu/jam,시 ,NOUN
time; hour,tiempo/hora,時間,waktu; jam,시간,NOUN
clock/watch,reloj,時計,jam dinding/arloji,시계,NOUN
to be cool/to be cold ,fresco,凉しい,sejuk/dingin,시원하다,ADJ
beginning/start | to begin/to start,empezar/comenzar,始め/開始 | 始める,permulaan/awal; memulai/mengawali,시작 | 시작하다,NOUN | VERB
to start,empezar/comenzar,始まる,memulai,시작되다,VERB
market,mercado,市場,pasar,시장,NOUN
to make (sb do),hacer/obligar,させる,membuat (seseorang melakukan),시키다,VERB
test,prueba,試験,ujian; tes,시험,NOUN
restaurant,restaurante,食堂,restoran/rumah makan,식당,NOUN
meal | to have a meal,comida; comer,食事 | 食事する,makanan; makan,식사 | 식사하다,NOUN | VERB
(dining) table ,mesa/tabla,食卓,meja makan,식탁,NOUN
to put on/to wear,poner,はく,mengenakan/memakai,신다,VERB
newspaper,periódico,新聞,koran,신문,NOUN
shoes,zapatos,靴,sepatu,신발,NOUN
breach of etiquette | to do sth improper in terms of etiquette,perdón; pedir perdón por haber hecho algo inapropiado.,失礼 | 失礼する,pelanggaran etika; melakukan sesuatu yang tidak tepat dalam hubungannya dengan.,실례 | 실례하다,NOUN | VERB
to be unpleasant,no querer,嫌いだ/いやだ,tidak menyenangkan,싫다,ADJ
to hate/dislike,no querer/odiar,嫌がる/嫌いだ,membenci/tidak menyukai,싫어하다,VERB
to be heavy/to be severe,ser severo,ひどい,berat/keras,심하다,ADJ
to be cheap,barato,安い,murah,싸다,ADJ
to fight/to argue/to quarrel,pelear/discuti,争う/けんかする,berkelahi/berdebat/bertengkar,싸우다,VERB
raw rice,arroz,米,beras,쌀,NOUN
to write,escribir,書く,menulis,쓰다 ,VERB
to wear,usar (ropa)/vestir,かぶる/かける,memakai,쓰다 ,VERB
to use,usar/utilizar,使う,menggunakan,쓰다 ,VERB
waste/garbage,basura,ごみ,limbah/sampah,쓰레기,NOUN
Mr./Ms.,señor/señorita,さん,Bapak/Ibu,씨,NOUN
to wash,lavar/limpiar,洗う,mencuci,씻다,VERB
ah/oh,ah/oh,あ,ah/oh,아,INT
baby,bebé,赤んぼう,bayi,아기,NOUN
wife,esposa/mujer,妻,istri,아내,NOUN
no,no,いや,tidak,아니,INT
to be not,no ser,ない,bukan,아니다,ADJ
no,no,いいえ,tidak,아니요,INT
son ,hijo,息子,anak laki-laki,아들,NOUN
bottom/the lower part,abajo/siguiente,下,bawah/dibawah,아래,NOUN
to be beautiful,hermoso bello,美しい,cantik,아름답다,ADJ
probably/likely,probablemente/seguramente,多分,mungkin,아마,ADV
anyone/anybody; any,cualquier/quiensea,誰; 何の,Apa saja/siapapun/siapa saja,아무,PRONOUN/ADV
no matter how,por más que...,いくら,Tak peduli bagaimana,아무리,ADV
father,padre,お父さん,ayah,아버지,NOUN
dad/daddy,papá,パパ,papa,아빠,NOUN
child/kid,niño/nene,子供,anak,아이,NOUN
ice cream,helado,アイスクリーム,es krim,아이스크림,NOUN
middle-aged man; mister,persona de mediana edad,おじさん,pria setengah -baya; bapak/tuan,아저씨,NOUN
very/so,muy/mucho,とても,sangat,아주,ADV
middle-aged woman; madam,señora,おばさん,wanita setengah-baya; ibu,아주머니,NOUN
still/yet,todavía,まだ,masih,아직,ADV
morning; breakfast,mañana/desayuno,朝; 朝ご飯,pagi hari; sarapan,아침,NOUN
apartment,apartamento/departamento,アパート,apartemen,아파트,NOUN
to be painful/to be sore,doloroso,痛い,menyakitkan. terluka,아프다,ADJ
inside; within,en menos de,中; 以内,dalam; di dalam,안 ,NOUN
not,no,(し)ない,tidak,안 ,ADV
glasses,cristales/anteojos/gafas,めがね,kaca mata,안경,NOUN
peace | to be fine,hola,こんにちは (さよなら) | 元気だ,damai; baik-baik saja ,안녕 | 안녕하다,NOUN | ADJ
peacefully,adiós/hasta luego,無事に,dengan damai ,안녕히,ADV
to hug/to hold,abrazar,抱く,memeluk,안다,VERB
sorry,lástima,残念だ,meminta maaf,안되다,ADJ
to sit ,sentar,座る,duduk,앉다,VERB
to be not,no (ser),ない,tidak,않다,VERB
to know,saber,分かる/知る,mengetahui,알다,VERB
to become known,(ser) sabido,知られる,terkenal ,알려지다,VERB
to let sb know/to inform,dejar saber. Avisar,知らせる,memberitahu seseorang/memberitahu,알리다,VERB
front,en frente/delante,前,depan,앞,NOUN
baseball,béisbol ,野球,baseball,야구,NOUN
medicine/drug,medicina/remedio,薬,obat,약,NOUN
a little/a bit ,un poco,少し,sedikit/agak,약간,NOUN/ADV
pharmacy/drugstore,farmacia,薬局/薬屋 ,apotek,약국,NOUN
promise | to promise,promesa; prometer,約束 | 約束する,janji; berjanji,약속 | 약속하다,NOUN | VERB
socks,soquete/media,靴下,kaus kaki,양말,NOUN
suit,traje,洋服,setelan,양복,NOUN
shoulder,historia; hablar sobre,肩,cerita/bicara; bercerita/berbicara,어깨,NOUN
which,hombros,どの,bahu,어느,DET
where,Cuál,どこ (に),yang mana,어디,PRONOUN
to be how,Dónde,どうだ,dimana,어떠하다,ADJ
what; some/certain,cómo,どんな; ある,bagaimana,어떤,DET
to be difficult,qué clase,難しい,apa; beberapa/tertentu ,어렵다,ADJ
adult,difícil/problemático,大人,sulit,어른,NOUN
to be young,adulto/,幼い,dewasa,어리다,ADJ
child,ser joven,子供,muda,어린이,NOUN
mother,niño/nene,お母さん,anak,어머니,NOUN
quickly,madre/mamá ,はやく,Ibu,어서,ADV
to get along; to match/to suit,rápido ,似合う,dengan cepat,어울리다,VERB
yesterday,quedar bien/vestir bien,昨日,bergaul dengan baik; cocok/sesuai ,어제,NOUN/ADV
girl's older sister ,ayer,お姉さん,kemarin,언니,NOUN
when ,hermana mayor,いつ,kakak perempuan,언제,PRONOUN/ADV
always/all the time,cuando,いつも,kapan,언제나,ADV
to gain/to get,siemrpe,得る,selalu,얻다,VERB
face,conseguir/obtener,顔,memperoleh/mendapat ,얼굴,NOUN
promptly/right away,cara/rostro,すぐ/早く/さっさと,wajah,얼른,ADV
how much,enseguida/rápido/ya,いくら,cepat; sekarang juga,얼마,NOUN
how,cuánto,どのくらい,berapa,얼마나,ADV
mom,cómo/cuánto,ママ,berapa lama,엄마,NOUN
there is no; do not have,madre/mamá ,ない/いない,mama,없다,ADJ
to disappear/to be gone,no (haber)/no (tener),消える/なくなる,tidak ada; tidak mempunyai,없어지다,VERB
without,desaparecer,なしに,menghilang/hilang,없이,ADV
air conditioner,sin,エアコン,tanpa,에어컨,NOUN
passport,acondicionador,パスポート,alat pendingin,여권,NOUN
here,pasaporte,ここ,paspor,여기,PRONOUN
younger sister,aquí ,妹さん,disini,여동생,NOUN
many/several,hermana menor,多くの,adik perempuan,여러,DET
all of you/everyone (honorific of 너희),mucho,皆さん,banyak/beberapa,여러분,PRONOUN
summer,ustedes,夏,semuanya/setiap orang (sebutan penghormatan untuk 너희),여름,NOUN
hello,verano,もしもし,musim panas,여보세요,INT
woman/lady,hola,女,halo,여자,NOUN
female student,mujer,女学生,wanita,여학생,NOUN
trip/travel | to travel,estudiante mujer,旅行 | 旅行する,murid perempuan,여행 | 여행하다,NOUN | VERB
station/stop,viaje; viajar,駅,perjalanan; bepergian ,역,NOUN
history,estación/parada,歴史,stasiun/perhentian,역사,NOUN
practice/exercise | to practice/to exercise,historia,演習 | 練習する,sejarah,연습 | 연습하다,NOUN | VERB
pencil,ensayo; ensayar/practicar,鉛筆,latihan; berlatih,연필,NOUN
to open,lápiz,開く,pensil,열다,VERB
to open/to be opened,abrir,開かれる/開く,membuka,열리다,VERB
key,(ser) abierto/abrido,鍵,membuka/terbuka,열쇠,NOUN
hard/diligently,llave,熱心に,kunci,열심히,ADV
the United Kingdom,duro/difícil/esforzoso,イギリス,keras/giat,영국,NOUN
English,Inglaterra,英語,Inggris,영어,NOUN
movie/film,inglés,映画,bahasa Inggris,영화,NOUN
side; next to,película/cortometraje,そば/横,film,옆,NOUN
example,al lado,例,samping/disamping,예,NOUN
to be pretty/to be beautiful,ejemplo,きれいだ,contoh,예쁘다,ADJ
schedule,bonito/bello,予定,cantik,예정,NOUN
old days,horario/agenda,昔,jadual,옛날,NOUN
today,viejos tiempos/antes,今日,jaman dahulu ,오늘,NOUN/ADV
to come,hoy/ahora,来る,hari ini,오다,VERB
long; for a long time,venir,長く, datang,오래,ADV
in a long time,antes/por tanto,ひさしぶり,lama; untuk waktu yang lama ,오래간만,NOUN
orange,hace mucho tiempo,オレンジ,dalam waktu yang lama,오렌지,NOUN
to rise/to go up,naranja,上がる,jeruk,오르다,VERB
the right,aumentar,右側,naik,오른쪽,NOUN
girl's older brother,derecha,お兄さん,kanan,오빠,NOUN
morning; a.m.,hermano mayor,午前,kakak laki-laki,오전,NOUN
afternoon; p.m.,mañana/desayuno,午後,pagi hari,오후,NOUN
to go up/to rise,tarde,上がる,sore hari,올라가다,VERB
this year,subir,今年,maju; naik,올해,NOUN
to move,este año,動かす,tahun ini,옮기다,VERB
clothes,mover/cambiar (de puesto),服,memindahkan,옷,NOUN
perfectly/completely,ropa/atuendo,完全に,pakaian/baju,완전히,ADV
why,totalmente,なぜ/どうして,dengan sempurna/dengan lengkap,왜,ADV
because,por qué,なぜなら,mengapa/kenapa,왜냐하면,ADV
foreign country,porque,外国,karena,외국,NOUN
foreign language,país extranjero,外国語,negara asing,외국어,NOUN
foreigner,lenguaje extranjero,外国人,bahasa asing,외국인,NOUN
the left,extranjero,左側,orang asing,왼쪽,NOUN
cooking | to cook ,izquierda,料理 | 料理する,kiri,요리 | 요리하다,NOUN | VERB
these days/today,comida; cocinar,このごろ/近頃,memasak,요즈음,NOUN/ADV
greed,estos días/actualmente/recientemente,欲心,akhir-akhir ini/hari ini ,욕심,NOUN
we,avaricia/egoísmo,私たち,ketamakan,우리,PRONOUN
my country,nosotros,我が国,kita/kami,우리나라,NOUN
umbrella,nuestro país,傘,negara saya,우산,NOUN
first (of all),paraguas,まず,payung,우선,ADV
milk,primero/antes que nada,牛乳,pertama - tama,우유,NOUN
post office,leche,郵便局,susu,우체국,NOUN
exercise/workout/sports | to do exercise,oficina de correo,運動 | 運動する,kantor pos,운동 | 운동하다,NOUN | VERB
playground,ejercicio/deporte; ejercitar/entrenar,運動場,latihan; olah raga/berlatih,운동장,NOUN
sneakers,patio (de deportes),運動靴,taman bermain,운동화,NOUN
driving | to drive,zapatillas,運転 | 運転する,sepatu karet,운전 | 운전하다,NOUN | VERB
to cry,manejamiento; manejar,泣く,mengemudi; mengemudikan,울다,VERB
to move,llorar,動かす; 動く,menangis,움직이다,VERB
to laugh/to smile,mover,笑う,bergerak,웃다,VERB
laugh/laughter,sonreír/reír,笑い,tertawa/tersenyum,웃음,NOUN
won (monetary unit of Korea),sonrisa,ウォン,tawa/gelak-tawa,원,NOUN
originally,won,元々,won (mata uang korea),원래,NOUN/ADV
to want/to wish,originalmente/en realidad,願う/望む,semula,원하다,VERB
top,desear/esperar,上,menginginkan/mengharapkan,위,NOUN
position/location/site,encima/arriba,位置,diatas,위치,NOUN
to do in favor of,ubicación/localización,ためだ,posisi/lokasi,위하다,VERB
danger | to be dangerous,para,危険 | 危険だ/危ない,melakukan sesuatu untuk,위험 | 위험하다,NOUN | ADJ
to be famous,peligro/peligrar ,有名だ,bahaya; berbahaya,유명하다,ADJ
bank,famoso,銀行,terkenal,은행,NOUN
food,banco,食べ物,bank,음식,NOUN
music,alimento/comida,音楽,makanan,음악,NOUN
opinion,música/canción,意見,musik,의견,NOUN
meaning | to mean,opinión/pensamiento,意味 | 意味する,pendapat,의미 | 의미하다,NOUN | VERB
doctor,significado; sifnificar,医者,arti/berarti,의사,NOUN
chair,doctor,椅子,dokter,의자,NOUN
tooth,silla,歯,kursi,이 ,NOUN
this (modifier),diente,この,gigi,이 ,DET
this (pronoun),esto/este,これ,ini (modifier),이것,PRONOUN
this place/here,esto/este,ここ,ini (kataganti),이곳,PRONOUN
to win/to beat,aqui/este lugar,勝つ,ditempat ini/disini,이기다,VERB
now/this day,ganar/triunfar,この時/今,memenangkan/mengalahkan ,이때,NOUN
such/this kind of,ahora/hoy,こんな,sekarang/hari ini,이런,DET
to be (like) this,como,こうだ,seperti (ini)/semacam (ini) ,이렇다,ADJ
name; given name,(es) esto/este,名前,seperti ini,이름,NOUN
already,nombre,もう/既に,nama; nama kecil,이미,ADV
image,ya,イメージ,sudah,이미지,NOUN
this time,imagen ,今度,kesan ,이번,NOUN/DET
this person (honorific of 이 사람),esta vez,こちら/この方,sekarang,이분,PRONOUN
more than/over,esta persona,以上,orang ini (sebutan penghormatan untuk이 사람),이상,NOUN
to be strange,más que/sobre,変だ,lebih dari/diatas,이상하다,ADJ
talk | to talk,extraño,話 | 話す,aneh,이야기 | 이야기하다,NOUN | VERB
use | to use,cuento; hablar/contar,利用 | 利用する,bicara; membicarakan,이용 | 이용하다,NOUN | VERB
neighbor,uso; usar,隣り,kegunaan;menggunakan,이웃,NOUN
reason,vecino,理由,tetangga,이유,NOUN
now,razón ,今,alasan,이제,NOUN/ADV
this way,ahora,こちら,sekarang,이쪽,PRONOUN
to figure out/to understand,aquí/este lado,理解する,arah sini,이해하다,VERB
human,entender/comprender,人間,memikirkan/memahami ,인간,NOUN
popularity,persona/humano,人気,manusia,인기,NOUN
greeting | to say hello/to say goodbye,popularidad,あいさつ | あいさつする,popularitas,인사 | 인사하다,NOUN | VERB
life,saludo; saludar/decir adiós,人生 ,salam; mengucapkan halo/mengucapkan selamat tinggal,인생 ,NOUN
internet,vida,インターネット,hidup,인터넷,NOUN
work/matter | to work,internet,仕事 | 働く,internet,일 | 일하다,NOUN | VERB
Japan,trabajo; trabajar,日本,pekerjaan,일본,NOUN
Japanese language,Japón,日本語,Jepang,일본어,NOUN
to get up; to stand up,japonés/lengua japonesa,起こる,bahasa Jepang,일어나다,VERB
to raise; to cause,levantar,起こす,bangun; berdiri,일으키다,VERB
early,causar,早く,menimbulkan; menyebabkan,일찍,ADV
to read,temprano,読む,awal,읽다,VERB
to lose/to be deprived of,leer,失う; 迷う,membaca,잃다,VERB
to lose/to be deprived of,perder,失う/なくす,kehilangan/dirampas ,잃어버리다,VERB
mouth,perder,口,kehilangan/dirampas ,입,NOUN
to put on/to wear,boca,着る,mulut,입다,VERB
to be/to exist,vestir/usar,ある/いる,memakai/mengenakan,있다,VERB/ADJ
to forget,estar/haber,忘れる,ada,잊다,VERB
to forget,olvidar,忘れる/忘れてしまう,melupakan,잊어버리다,VERB
oneself,olvidar,自分 (の),melupakan,자기,PRONOUN
repeatedly/again and again,(uno) mismo,しきりに,diri sendiri ,자꾸,ADV
to sleep,constantemente/repetidamente,寝る,berulang kali/berulang-ulang ,자다,VERB
car,dormir,自動車,tidur,자동차,NOUN
to grow,automóvil/coche,育つ,mobil,자라다,VERB
room/space; seat,crecer,席,tumbuh,자리,NOUN
oneself,lugar/espacio,自分/自身,kamar/ruang; tempat,자신,NOUNApakah tempat ini kosong?
to be natural ,(uno) mismo,自然だ,diri sendiri,자연스럽다,ADJ
freedom/liberty,natural,自由,alami,자유,NOUN
jajangmyeon (Chinese noodle),libertad,チャジャン麺,kebebasan,자장면,NOUN
bicycle,jajangmion,自転車,jajajangmyeon (Mi Cina),자전거,NOUN
often/frequently,bicicleta,しばしば/よく,sepeda,자주,ADV
last year,frecuente/seguido,去年,sering,작년,NOUN
to be small; to be short,el año pasado,小さい,tahun lalu,작다,ADJ
cup/glass,pequeño/chiquito,杯,kecil,잔,NOUN/NOUN
well/skillfully,taza/vaso,よく,cangkir/gelas,잘,ADV
to do sth well,bien ,上手だ,dengan baik/dengan mahir,잘하다,VERB
sleep ,sueño,眠り,tidur,잠,NOUN
for a moment,por un momento,ちょっと,sebentar,잠깐,NOUN/ADV
for a moment/for a while,por un instante,少し (の間),sebentar,잠시,NOUN/ADV
to sleep,dormir,眠る,tidur,잠자다,VERB
to catch/to hold,atrapar/sostener,取る,menangkap/memegang,잡다,VERB
magazine,revista,雑誌,majalah,잡지,NOUN
sheet/page (unit of counting paper),hoja/página (unidad para contar hojas),枚,lembar/halaman (satuan untuk menghitung kertas),장,NOUN
joke/fun/prank,broma,いたずら,guyonan/lelucon/kelakar,장난,NOUN
rose,rosa,バラ,mawar,장미,NOUN
place,lugar,場所,tempat,장소,NOUN
material/ingredient,material/ingrediente,材料,bahan-bahan,재료,NOUN
to be boring,aburrido/desinteresante,つまらない,membosankan,재미없다,ADJ
to be fun,divertido/interesante,おもしろい,menyenangkan,재미있다,ADJ
property/wealth,herencia/propiedad,財産,kekayaan,재산,NOUN
I (humble word of 나),yo (término superior a yo),私 (나の謙讓語),saya (kata sederhana dari 나),저 ,PRONOUN
that (modifier),eso/ese,あの,itu (modifier),저 ,DET
that (pronoun),eso/ese,あれ,itu (kataganti),저것,PRONOUN
there/that place,allí ,あそこ,disana/ditempat itu,저곳,PRONOUN
(over) there,allá,あそこ,di (atas) sana,저기,PRONOUN
evening; dinner,noche,夕方,malam; makan malam,저녁,NOUN
there/that side,allí,あちら,disana/disebelah sana,저쪽,PRONOUN
to write,escribir/tomar nota,書く,menulis,적다,VERB
to be few/to be small,poco/corto/chico,少ない,sedikit,적다,ADJ
before,antes,前,sebelum,전,NOUN
tradition,tradición/cultura,伝統,tradisi,전통,NOUN
to tell/to convey/to deliver,decir/pasar,伝える,memberitahu/menyampaikan/mengirimkan,전하다,VERB
not at all/completely,totalmente (no) ,全然/全く,sama sekali/sepenuhnya,전혀,ADV
telephone/call | to call,teléfono/llamar,電話 | 電話する,telepon/telepon; menelepo\n  ,전화 | 전화하다,NOUN | VERB
telephone number,número de teléfono,電話番号,nomor telepon,전화번호,NOUN
to be young,joven,若い,muda,젊다,ADJ
point/aspect,punto/mancha,点,angka/nilai ,점,NOUN
lunch,almuerzo,お昼,makan siang,점심,NOUN
lunch time/lunch break,hora del almuerzo,昼休み,waktu makan siang/istirahat siang,점심시간,NOUN
gradually/by degrees/more and more,cada vez más/gradualmente,ますます/だんだん,berangsur-angsur/lambat-laun,점점,ADV
chopsticks,palillos,御箸,sumpit,젓가락,NOUN
degree; about,cerca de/nivel,位,derajat tingkat; sekitar,정도,NOUN
stop/station,estación/parada,停留場,Perhentian/halte/stasiun,정류장,NOUN
really/indeed,realidad,本当 (に),sangat/benar-benar,정말,ADV
mind/spirit; consciousness,mente/espíritu,精神,pikiran/jiwa; kesadaran,정신,NOUN
to decide/to fix/to set,decidir,決める,memutuskan/memastikan/menetapkan,정하다,VERB
to be accurate/to be exact,exacto/correcto,正確だ,akurat/tepat,정확하다,ADJ
properly/right,correcto/bien,まともに,sebagaiman mestinya/benar,제대로,ADV
the first/the most,el más,一番,yang utama/paling,제일,NOUN/ADV
some; a little,poco/corto/chico,少し/ちょっと,sedikit,조금,NOUN/ADV
to investigate/to look into,investigar/averiguar,調査する,menyelidiki/memeriksa,조사하다,VERB
to be careful; to watch out,tener cuidado,気を付ける,berhati-hati; hati-hati,조심하다,VERB
to be silent/to be quiet,reservar/silenciar/callar,静かだ,tenang/sepi,조용하다,ADJ
graduation | to graduate,graduación; graduar,卒業 | 卒業する,kelulusan; lulus,졸업 | 졸업하다,NOUN | VERB
a little; please,un poco/por favor,ちょっと,sedikit; tolong,좀,ADV
religion,religión,宗教,agama,종교,NOUN
kind/sort/type,tipo/clase,種類,jenis,종류,NOUN
paper,papel ,紙,kertas,종이,NOUN
to be good/to be nice,agradable/bueno,良い,bagus/menyenangkan,좋다,ADJ
to like,gustar,好きだ,menyukai,좋아하다,VERB
to be sorry,pedir perdón,申し訳ない,meminta maaf,죄송하다,ADJ
to give,dar,くれる/あげる,memberi,주다,VERB
mostly/mainly,casi/generalmente/sobre todo ,主に,sebagian besar/kebanyakan,주로,ADV
weekend,fin de semana,週末,akhir pekan,주말,NOUN
address,dirección,住所/アドレス,alamat,주소,NOUN
juice,jugo,ジュース,jus,주스,NOUN
vicinity/around,al rededor,周り,sekitar/di sekitar,주위,NOUN
owner,dueño/patrón,主人/持ち主,pemilik,주인,NOUN
subject/topic,tema/asunto,主題,pokok persoalan/topik,주제,NOUN
to die,morir,死ぬ,meninggal dunia ,죽다,VERB
death,muerte,死,kematian,죽음,NOUN
preparation | to prepare,preparación; preparar,準備 | 準備する,persiapan; mempersiapkan,준비 | 준비하다,NOUN | VERB
to reduce/to decrease,reducir/descontar/decrecer,減らす,mengurangi,줄이다,VERB
during; among,durante/entre ,中,selama; antar,중,NOUN
China,China,中国,Cina,중국,NOUN
Chinese language,lenguaje chino,中国語,bahasa Cina,중국어,NOUN
